Contemporâneo,Figurativo,Pop,Moderno,Conceitual,Abstrato,Retrato,Surrealista,Outro Tema,Paisagem,Natureza,Clássico,Realista,Minimalista,Expressionista,Vintage,Streetart,Impressionista,Pintura,Gravura,Técnica Mista,Outra Técnica,Desenho,Escultura,Fotografia,Livro,Colorido,Monocromático,Size,Price,Artist,Title,Image_Url,Marketplace
True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1200.0,1200.0,Marcia C. Cavalcanti,Mosca,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/5298/dtI0arP2IpyYpyoSrDPeSh23032022065220.webp,Artsoul
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3021.0,3500.0,Fabrício Lopez,Sem título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/5448/hNDuY9vtCGCiYHJOfItNPd23032022070105.webp,Artsoul
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3500.0,2300.0,Francisco Maringelli,"Bye, bye Dubai",https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/10216/CB0Rqbf2SkvqXpZpwh3vRi23032022181844.webp,Artsoul
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,14832.0,23000.0,Anna Paola Protasio,On My Way,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/2474/WpoupHXqMKdhSb4IKA0xmA23032022015156.webp,Artsoul
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3500.0,1950.0,ADRIANA BRZEZINSKA,Sem título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/16984/88iNYieVT56DwS77YY0b6B28012023111815.webp,Artsoul
True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,14550.0,9500.0,Fernando Cardoso,Sem Título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/2604/0Yl8F0VlpYvnm1I3AyFP0l23032022020318.webp,Artsoul
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,560.0,3200.0,Adriana Affortunati,Bicho,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/16713/DpP7Yiepl7nmxx4g6jmaX701122022114408.webp,Artsoul
True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,2478.0,1800.0,Ana Schieck,Série Genealogia (Genealogy Series) - Ana Juracema,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/5477/cdJMb4x8j7L3qvruYvEt3r23032022070237.webp,Artsoul
True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,6300.0,7500.0,Uiara Bartira,Série O INATINGÍVEL,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/4342/YpHM8GuYQ2bmw9JEYl33m823032022044519.webp,Artsoul
True,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,13900.0,6250.0,Maria Perdigão,Jarros,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/5086/wCYK0xb5s84oRrX475XSm323032022064022.webp,Artsoul
