,Beta,Category
Eun-Hye Seo,-335.2033861325207,Artist
Buhle Nkalashe,-348.59856714528365,Artist
Marc Chicoine,-379.19391255098503,Artist
JLoren Reedy,-397.0799468930679,Artist
Tandafa Art,-417.30922055816507,Artist
Marat Cherny,-419.91324867026833,Artist
Rudi Cotroneo,-431.63635692053424,Artist
Marijah Bac Cam,-450.48492329456644,Artist
Olga Gál,-490.6606959985115,Artist
Yeachin Tsai,-569.3219528753303,Artist
Frederic Belaubre,-575.4382844994082,Artist
Rodrigue Semabia,-596.0176604959029,Artist
SANTHOSH C H,-596.9906997374527,Artist
cecilia frigati,-647.9719965179074,Artist
New Media,-753.0671167982813,Mediums
Frederick Hurd,-839.094306255493,Artist
Phung Wang,-1114.6054212558365,Artist
Karolina Zglobicka,-1207.143473010984,Artist
Peter Nottrott,-1380.4148624173424,Artist
Jaime Domínguez,-1451.35795909002,Artist
