,Mean Price (US$/in²),Median Price (US$/in²),Standard Dev Price (US$/in²),Variance (US$/in²),Count (#)
David Komander,7.89,8.34,1.31,1.71,10.0
Gavin Zeigler,6.98,8.31,2.34,5.47,21.0
Bernard Simunovic,7.35,8.16,1.83,3.35,8.0
Alessandro Paladini,7.33,7.97,1.39,1.93,6.0
The PandMe,6.85,7.94,2.45,5.99,11.0
Christian Hetzel,7.64,7.78,1.16,1.33,10.0
Daniel Ridicki,7.65,7.68,0.11,0.01,6.0
Cody Bayne,7.36,7.39,1.1,1.21,6.0
Owen Normand,6.82,7.32,2.28,5.18,6.0
Taeil Kim,7.43,7.07,0.86,0.73,8.0
Athena Petra Tasiopoulos,6.29,6.88,1.14,1.29,7.0
Kevin Jones,6.67,6.84,1.02,1.03,8.0
david stanley,6.59,6.65,1.88,3.55,11.0
Anthony Rowsell,6.15,6.59,1.08,1.17,6.0
Tullio Mesi,6.23,6.46,1.64,2.68,72.0
Pat Kelley,5.71,6.25,1.74,3.02,11.0
Berry Kim,5.79,6.24,1.42,2.0,9.0
Astrid Lans,5.97,6.23,0.74,0.54,12.0
Helen Collingborn,6.03,6.19,1.68,2.81,16.0
Mandy Racine,5.15,6.08,1.38,1.91,9.0
Deborah Stevenson,5.95,6.06,1.43,2.05,12.0
David Galan,5.86,5.97,1.8,3.23,9.0
Tatiana An,5.54,5.86,0.99,0.98,6.0
Kirstin McCoy,6.59,5.8,1.65,2.73,7.0
Paul Cheng,5.77,5.78,0.4,0.16,8.0
Tomoya Nakano,5.51,5.66,1.76,3.09,31.0
Mary Jo McGonagle,5.91,5.64,1.55,2.4,9.0
Ko byung jun,6.03,5.63,1.11,1.24,12.0
Vincent Vee,5.49,5.6,2.13,4.53,22.0
Linda Sgoluppi,5.41,5.6,1.83,3.36,21.0
Jolanda Richter,5.55,5.58,1.28,1.63,20.0
B A H M A N,5.51,5.51,1.5,2.24,6.0
de Miramon alice,5.82,5.45,1.41,1.98,6.0
Mikołaj Obrycki,5.06,5.41,1.79,3.19,9.0
Patty Neal,5.2,5.41,1.89,3.56,6.0
Naomi Yuki,5.52,5.36,1.9,3.62,8.0
Naomi Vona,5.43,5.34,2.8,7.84,38.0
Olga Skorokhod,5.43,5.32,0.72,0.52,6.0
Baldvin Ringsted,4.95,5.32,0.83,0.68,6.0
Tatyana Odegova-Nebogatykh,6.65,5.23,1.67,2.79,11.0
Denise Marts,5.16,5.23,1.68,2.81,6.0
Trevisan Carlo,4.57,5.15,1.37,1.88,18.0
Laurence Friedlander,5.31,5.14,2.09,4.39,185.0
Ali Herrmann,4.82,5.09,0.94,0.88,12.0
Anna McNeil,5.08,5.09,2.07,4.3,8.0
Sara Sandler,4.76,5.04,2.72,7.42,10.0
Igor  Eugen Prokop,5.14,5.01,1.31,1.73,9.0
Hanna Milevska,5.41,4.97,2.15,4.64,22.0
Savvy Rick Brown,4.96,4.94,0.04,0.0,12.0
Zoe Lunar,4.9,4.87,1.09,1.19,14.0
Campbell La Pun,4.37,4.87,1.22,1.48,6.0
Frederick Hurd,4.47,4.8,1.61,2.58,261.0
Michele Rizzi,4.98,4.79,2.61,6.83,6.0
Christy Powers,4.88,4.69,0.67,0.46,8.0
Stefan Doru Moscu,5.08,4.69,1.48,2.19,10.0
Morris T Howard,4.55,4.61,0.64,0.41,9.0
