,Mean Price (US$/in²),Median Price (US$/in²),Standard Dev Price (US$/in²),Variance (US$/in²),Count (#)
Photo,3.93,3.38,2.47,6.13,134.0
Manipulated,3.35,2.89,2.12,4.5,143.0
Vector,2.73,2.82,0.45,0.2,134.0
Oil,3.23,2.81,1.8,3.24,4184.0
Graphite,3.03,2.75,1.81,3.27,255.0
Paper,3.38,2.67,2.1,4.42,676.0
Gesso,2.93,2.57,1.71,2.92,622.0
New Media,2.42,2.51,0.91,0.83,193.0
Digital,2.78,2.51,1.56,2.43,459.0
Watercolor,2.81,2.23,1.69,2.85,826.0
Gouache,2.55,2.23,1.32,1.75,382.0
Pencil,2.91,2.23,1.97,3.89,376.0
Charcoal,2.59,2.2,1.52,2.3,312.0
Acrylic,2.63,2.11,1.68,2.83,6319.0
Ink,2.63,2.1,1.63,2.64,1468.0
Paint,2.81,2.06,1.83,3.33,500.0
Color,2.86,2.06,1.97,3.9,240.0
Pastel,2.57,1.91,1.85,3.42,309.0
Marker,2.67,1.88,2.0,4.02,292.0
Spray Paint,2.48,1.84,1.54,2.38,731.0
Enamel,1.98,1.57,1.32,1.74,197.0
