,Mean Price (US$/in²),Median Price (US$/in²),Standard Dev Price (US$/in²),Variance (US$/in²),Count (#)
Documentary,4.25,4.47,1.85,3.42,357.0
Dada,3.48,2.9,2.22,4.91,211.0
Surrealism,3.38,2.84,2.01,4.05,975.0
Photorealism,3.24,2.76,1.94,3.77,226.0
Cubism,2.82,2.68,1.78,3.15,339.0
Realism,3.23,2.68,1.93,3.74,1057.0
Impressionism,3.15,2.62,1.91,3.64,1770.0
Figurative,3.11,2.61,1.82,3.31,3164.0
Illustration,3.2,2.58,1.97,3.88,746.0
Folk,3.1,2.57,1.95,3.8,161.0
Fine Art,2.97,2.52,1.75,3.07,4674.0
Art Deco,2.7,2.49,1.52,2.3,771.0
Portraiture,2.97,2.44,1.8,3.22,1288.0
Conceptual,3.08,2.41,1.97,3.89,1330.0
Contemporary,2.77,2.23,1.75,3.08,1492.0
Expressionism,2.77,2.23,1.76,3.1,2986.0
Pop Art,2.72,2.23,1.67,2.8,1351.0
Abstract,2.65,2.15,1.71,2.92,6298.0
Street Art,2.57,2.08,1.57,2.46,750.0
Modern,2.61,2.06,1.69,2.84,4826.0
Abstract Expressionism,2.49,2.0,1.62,2.61,3768.0
Minimalism,2.55,1.99,1.65,2.71,1955.0
