,Mean Price (US$/in²),Median Price (US$/in²),Standard Dev Price (US$/in²),Variance (US$/in²),Count (#)
Still Life,3.46,2.94,2.1,4.4,203.0
Cities,3.06,2.91,1.62,2.62,152.0
Nature,3.25,2.78,1.84,3.37,385.0
Architecture,3.29,2.75,1.99,3.96,222.0
People,3.29,2.74,1.96,3.85,464.0
Animal,3.02,2.69,1.63,2.67,287.0
Women,3.16,2.66,1.92,3.7,412.0
Body,3.07,2.64,1.94,3.76,171.0
Portrait,3.15,2.63,1.85,3.42,753.0
Beach,3.14,2.48,1.83,3.35,122.0
Nude,3.3,2.43,2.22,4.92,169.0
Landscape,2.89,2.35,1.81,3.27,1027.0
Floral,2.59,2.09,1.68,2.81,302.0
Abstract,2.56,2.05,1.67,2.8,4745.0
Seascape,2.58,2.02,1.76,3.09,142.0
Geometric,2.22,1.91,1.05,1.1,311.0
