,Feature Importance,Category
Size (in²),0.6689502736990477,Size (in²)
David Komander,0.015916995354150327,Artist
Photorealism,0.013757152507891512,Styles
Kris Gebhardt,0.012916905700501368,Artist
Cubism,0.010378099177744524,Styles
Oil,0.009505496644156257,Mediums
Christian Hetzel,0.008578546238450164,Artist
Fine Art,0.008032542271378063,Styles
Acrylic,0.007988324860356359,Mediums
Figurative,0.007617431154008239,Styles
Modern,0.007576093416006977,Styles
Conceptual,0.007418901223296375,Styles
Abstract Expressionism,0.007350461930416516,Styles
Expressionism,0.006457432204409268,Styles
Abstract,0.006085086153531602,Subjects
Iarca Gallery,0.005765572100595768,Artist
Tullio Mesi,0.005558000306088596,Artist
Eduard Zentsik,0.005304640693546121,Artist
Surrealism,0.005299748171807248,Styles
M C Photography ,0.005264968524427423,Artist
Other,0.0051280154780690545,Materials
Pop Art,0.004831235009161552,Styles
GABRIELE  KOCH,0.004591525560204333,Artist
Realism,0.004485388649467695,Styles
Minimalism,0.004413784740299533,Styles
Vincent Vee,0.004177998730754744,Artist
Wood,0.004152136286270942,Materials
Digital,0.0039780652406062,Mediums
Portraiture,0.0036614427537610132,Styles
Gesso,0.0035051668811345786,Mediums
Portrait,0.0034643282143112064,Subjects
Contemporary,0.0034209014664247526,Styles
Nature,0.003335573967725381,Subjects
Michelle Yap,0.003156485300311618,Artist
Impressionism,0.0030937555904983318,Styles
Mikołaj Obrycki,0.002929833773145668,Artist
Paint,0.002915032838519587,Mediums
Harry Moody,0.0029149171957863827,Artist
Street Art,0.0028303913081517266,Styles
People,0.0027859018854854063,Subjects
Peter Vahlefeld,0.002735160620458517,Artist
Spray Paint,0.002732477492576148,Mediums
Color,0.002718647659197036,Mediums
Landscape,0.0026888096953832114,Subjects
Newel Hunter,0.0026669617302151477,Artist
Art Deco,0.002454199845862889,Styles
Jolanda Richter,0.0023044023210268515,Artist
Berry Kim,0.002279525606436415,Artist
Body,0.0022096481215597664,Subjects
Ink,0.0020661994162231713,Mediums
HyunRyoung Kim,0.0019353600594402595,Artist
Milan Terzic,0.0017757395304271615,Artist
Luca Brandi,0.0017662449647118405,Artist
Nestor Toro,0.0017456605141613572,Artist
Michele Rizzi,0.0016665342261941631,Artist
Hanna Milevska,0.0015773332927850596,Artist
Vicky Barranguet,0.0013949489719013958,Artist
Shelton Walsmith,0.0013871930863231022,Artist
Seascape,0.0013308327193473992,Subjects
Women,0.0013019499085489788,Subjects
Paper,0.0012677599003262292,Materials
Charcoal,0.0012349871651569052,Mediums
Koen Lybaert,0.0012304666383741781,Artist
Documentary,0.0011625212269741534,Styles
Pastel,0.0011050766602776613,Mediums
Jessica Muller,0.0010949151856491533,Artist
Olivier Messas,0.0010692354378945947,Artist
Architecture,0.0010246280867582972,Subjects
Animal,0.0009544114115087039,Subjects
Carla Sa Fernandes,0.0009029341265606534,Artist
Nude,0.000888547484048817,Subjects
Andrea Guarniero,0.0008875961527126441,Artist
Illustration,0.0008827289531299135,Styles
Enamel,0.0008422070457366406,Mediums
Geometric,0.0008360570691771356,Subjects
Kaoru Shibuta,0.000802135672813831,Artist
Mario Henrique,0.0007915733893134533,Artist
Muriel napoli,0.0007912412127984237,Artist
Stephane Villafane,0.0007899321975984911,Artist
Vadim Puyandaev,0.0007636470514566188,Artist
Marat Cherny,0.0007537082035268448,Artist
Pencil,0.0007530669678754473,Mediums
Lilia Orlova-Holmes,0.000723707998193376,Artist
Detlef Gotzens,0.0007215962991451912,Artist
Watercolor,0.0007184664375898841,Mediums
Brad Bealmear,0.0007060238172762411,Artist
Graphite,0.0006864589530122077,Mediums
Folk,0.0006572288978252412,Styles
Kenny Nguyen,0.0006400117268676701,Artist
Heather Blanton,0.0006222848263193214,Artist
Rodrigue Semabia,0.0006205683814451434,Artist
