Year of sale,Marc Chagall,Emiliano Di Cavalcanti,Vicente do Rego Monteiro,Cândido Portinari,Victor Vasarely
1992,,,,,
1993,,,,,
1995,313402.52878385305,,,,
1996,269031.8593912236,,,,
1997,247098.2061434261,,,,
1998,205958.4669401558,,,,
1999,224050.01744498403,,,,
2000,187094.9962999227,,,,
2001,243581.04138115878,,,,
2002,228467.43855171767,,,,
2003,213417.21099613106,,,,
2004,144158.71410758403,,,,
2005,179442.88869855032,,,,
2006,241068.10971436382,,,,20720.979029739432
2007,256929.68994989587,,,,40862.99850254043
2008,253214.90891904142,,29362.333333333332,,54682.38344537875
2009,173637.27533432236,,,,55269.56854186876
2010,180334.64634460444,,35971.0,,46147.216936032746
2011,239983.22397539718,,,,41050.06846392213
2012,280226.4562496136,,,,36336.39103325785
2013,245044.30244585933,,,,31995.923183120063
2014,225320.1992901444,,,,30455.346891677484
2015,238638.16100533676,,,,28651.62131421153
2016,256250.95981434544,,,,27949.824349384926
2017,196562.08603779026,,28063.166666666668,,33240.45657414848
2018,176921.57474603856,,,,40208.25725393302
2019,180422.85973398443,,29171.833333333332,,50599.69626198973
2020,163640.8206764748,,,,47540.66110634452
2021,161372.70957223218,,,,57765.130166615825
2022,161032.88284292512,,,,43734.23092341397
2023,170695.5968092559,,,,55195.836755533994
