Year of sale,Marc Chagall,Emiliano Di Cavalcanti,Vicente do Rego Monteiro,Cândido Portinari,Victor Vasarely
1992,,,,,
1993,,,,,
1995,193107.61121213518,,,,
1996,179753.97066993723,,,,
1997,182741.37869963713,,,,
1998,172215.30923052746,,,,
1999,198333.2612198744,,,,
2000,193846.01801891217,,,,
2001,231776.1392501533,,,,
2002,198550.38139833848,,,,
2003,165808.26049793637,,,,
2004,110066.01976645125,,,,
2005,117443.4635314941,,,,10833.262533187291
2006,192239.71215230887,,,,18126.18052173317
2007,326651.6992956673,,,,29014.975907237458
2008,380879.7382212439,,,,40810.08706502051
2009,370239.76550837554,,,,40039.463233148184
2010,299724.9623646957,,,,36839.79544281033
2011,388041.4594621738,,,,29459.51180740914
2012,371107.7212054829,,,,28163.498788892786
2013,379424.84590344457,,,,26336.404476134096
2014,400953.9807829778,,,,25775.42946984225
2015,654103.8553240863,,,,25581.308569440163
2016,815942.8745623766,,,125212.9346765327,22895.714029820407
2017,757990.7918981062,,,,25306.275507394836
2018,651732.6038444678,,,,31667.219427813874
2019,497600.45957501355,,,,36047.779437290046
2020,470551.7450554332,,,,36769.756273830746
2021,356595.1218586536,,,,47329.485223569674
2022,360107.56363629905,,,,41417.04494486075
2023,387577.09244233643,,,,40747.163055580764
