Year,artist_link,Descrição,Fonte de Pesquisa,Type,Artist,Título,url,img_url,Medium,Error,0,0.1,0.2,0.3,0.4,Height (cm),Width (cm),Price (BRL),Price (USD),Medium_type,Sold,Year of sale
1960.0,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,Ed. 95/300.,Leilão Bolsa de Arte Dezembro de 2010,Pinturas,Victor Vasarely,s/t,https://www.catalogodasartes.com.br/obra/BzcAz/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_53873.jpg,Serigrafia,,,,,,,57.0,57.0,3000.0,1807.23,reprodução,True,2010
,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"Estudo para o painel ""Descobrimento do Brasil"". Reproduzido no Raisonné do Artista, Vol. III, à p. 468, sob o registro nº 3367 - FCO [2974]. Com dedicatória ""Para o amigo Callado, com o abraço de Portinari"" - Esta obra entrou em leilão com o lance inicial de R$600.000,00",Leilão James Lisboa 20 e 21 de Março de 2013,Pinturas,Candido Portinari (1903-1962),Descobrimento do Brasil,https://www.catalogodasartes.com.br/obra/PPUtt/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_99466.jpg,Desenho a grafite sobre papel,,,,,,,81.0,100.0,600000.0,303030.3,desenho,True,2013
,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,"VICENTE REGO MONTEIRO - Enlaçado ao jarro, GATO, incrível forma delineada em tons pasteis esta aquarela define a arte deste mestre. A.S.C med. 32 X 52,5 cm. - Texto transcrito do catálogo do leilão.",Leilão Quadrilátero 22 de Janeiro de 2020,Pinturas,Vicente do Rego Monteiro,"Enlaçado ao jarro, GATO",https://www.catalogodasartes.com.br/obra/PzDABD/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_931751.jpg,Aquarela,,,,,,,52.5,32.0,4250.0,1009.5,pintura,False,2020
,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"São Francisco Grafite s/ papel, 58 x 90 cm, ass. inferior direito, déc. 40. Registrado no Projeto Portinari, FCO 215. Estudo para painel da Igreja da Pampulha - Texto transcrito do catálogo do leilão.",Leilão Canvas 10 de Novembro de 2015,Pinturas,Candido Portinari (1903-1962),São Francisco,https://www.catalogodasartes.com.br/obra/GBAPcz/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_257983.jpg,Grafite sobre papel,,,,,,,90.0,58.0,218500.0,57651.72,desenho,False,2015
1966.0,https://www.catalogodasartes.com.br/cotacao/artista/Emeric%20Marcier/,,Soraia Cals/Evandro Carneiro Leilões,Pinturas,Emeric Marcier,Tiradentes,https://www.catalogodasartes.com.br/obra/GUtD/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2461.jpg,Óleo sobre Tela,,,,,,,73.0,54.0,26000.0,13000.0,pintura,True,2007
,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"CANDIDO PORTINARI - “Homem”, Gravura em metal – H.C., Ass.inf.dir, C.1940, 14,2 x 7,5 cm. - Um exemplar dessa gravura está reproduzida na pág.169, volume II sob nº 1295 (FCO 879) do catálogo Raisonné de Candido Portinari. - Reproduzida na pág.152 do livro “Odorico Tavares a minha casa baiana”. Sem moldura. - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$2.300,00",Leilão Lordello 31 do 05 e 01 do 06 de 2022,Pinturas,Candido Portinari (1903-1962),Homem,https://www.catalogodasartes.com.br/obra/DeGBBPU/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1025594.jpg,Gravura em metal,,,,,,,7.5,14.2,2700.0,572.03,reprodução,True,2022
1940.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,Atestado de autenticidade do Projeto Portinari nº 745 e CR 1222 (nº publicada no Catálogo Raisonné).,Bel Galeria de Arte - Leilão novembro de 2007,Pinturas,Candido Portinari (1903-1962),Paisagem RJ,https://www.catalogodasartes.com.br/obra/GUUzc/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_24438.jpg,Óleo sobre Tela,,,,,,,72.0,60.0,700000.0,355329.95,pintura,False,2007
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"Victor Vasarely AXO-44, 1968 Fine Art, Editions du Griffon 1974, assinado inferior direito. (no estado) 41 x 41 cm - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$1.000,00",Leilão JRutkauska 15 de Agosto de 2022,Pinturas,Victor Vasarely,AXO-44,https://www.catalogodasartes.com.br/obra/DeUePcz/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1040983.jpg,fine art,,,,,,,41.0,41.0,1000.0,186.92,reprodução,True,2022
1970.0,https://www.catalogodasartes.com.br/cotacao/artista/Jose%20Paulo%20Moreira%20da%20Fonseca%20-%20Jos%C3%A9%20Paulo%20Moreira/,,Renot Leilão Junho/07,Pinturas,Jose Paulo Moreira da Fonseca - José Paulo Moreira,Há sempre uma saida,https://www.catalogodasartes.com.br/obra/GcGe/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2820.jpg,Óleo sobre Tela,,,,,,,24.0,33.0,2000.0,1000.0,pintura,True,2007
1939.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"PORTINARI, CANDIDO (1902-1962) - Praça Ensolarada - Aquarela s/ papel, 14 x 17 cm, ass. inferior direito, dat. 1939. Registrado no Projeto Portinari, FCO 1786 - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$14.800,00",Leilão Canvas 09 e 10 de Novembro de 2021,Pinturas,Candido Portinari (1903-1962),Praça Ensolarada,https://www.catalogodasartes.com.br/obra/PPzGAt/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_993276.jpg,Aquarela sobre papel,,,,,,,17.0,14.0,42800.0,7795.99,pintura,True,2021
1982.0,https://www.catalogodasartes.com.br/cotacao/artista/Jose%20Leonilson%20Bezerra%20Dias%20-%20Leonilson%20-%20Dito/,ass. e dat. 1982 e com a letra M. correspondente a Madri na parte inf.,Soraia Cals/Evandro Carneiro Leilões,Pinturas,Jose Leonilson Bezerra Dias - Leonilson - Dito,Sem Título,https://www.catalogodasartes.com.br/obra/GztD/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2361.jpg,Guache e monotipia de guache sobre papel,,,,,,,22.0,33.0,3700.0,1850.0,pintura,True,2007
1984.0,https://www.catalogodasartes.com.br/cotacao/artista/Juarez%20Machado/,,Pro Arte Leilões,Pinturas,Juarez Machado,Interior,https://www.catalogodasartes.com.br/obra/GtPA/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2697.jpg,Óleo sobre Tela,,,,,,,95.0,70.0,36000.0,18000.0,pintura,False,2007
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"Ass. no cachê de Denise René - exemplar 5/10. Esta obra entrou em pregão com o lance inicial de R$36.000,00",Leilão das Galerias Dezembro de 2008.,Pinturas,Victor Vasarely,Beryl Negutis,https://www.catalogodasartes.com.br/obra/GPPGt/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_29926.jpg,Madeira pintada,,,,,,,36.0,36.0,37000.0,17209.3,pintura,True,2008
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"Esta obra entrou em leilão com o lance inicial de R$250,00",Leilão Tableau 4 e 5 de Dezembro de 2012,Pinturas,Victor Vasarely,Composição,https://www.catalogodasartes.com.br/obra/PUGtz/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_94263.jpg,Silkscreen,,,,,,,53.0,53.0,1200.0,571.43,outro,True,2012
,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"desenho a caneta - tinteiro sobre papel - medindo 7x10cm.- assinatura estampada.(Esboço para a pintura - Gangorra e Amarelinha, - Reproduzido no raisonee do artista, vol. I, pág.371, figura 675 FC574).",Leilão Pro Arte 23 de Setembro de 2013,Pinturas,Candido Portinari (1903-1962),Gangorra,https://www.catalogodasartes.com.br/obra/DGUDtt/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_124166.jpg,Desenho a caneta sobre papel,,,,,,,10.0,7.0,12000.0,5454.55,desenho,False,2013
