Year,artist_link,Descrição,Fonte de Pesquisa,Error,Type,Século,Artist,Título,url,Década,img_url,Technique,Height (cm),Width (cm),Price (BRL),Price (USD),Technique_fix,Sold,Year of sale
1934.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,,Leilão Soraia Cals Julho de 2010,False,Pinturas,20.0,Vicente do Rego Monteiro,Carregador,https://www.catalogodasartes.com.br/obra/UAeGG/,30.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_47022.jpg,Nanquim sobre cartão,68.0,56.0,27000.0,14210.53,desenho,False,2010
,https://www.catalogodasartes.com.br/cotacao/artista/Marc%20Chagall/,"Marc Chagall (1887-1985). David et Bethsebée. Litografia - E.A. Assinado, cid. 1956. 35 x 26 cm. Reproduzida na capa do catálogo da exposição do artista na Galeria Portal em São Paulo - 1976. Autenticação assinada por CH. SORLIER no verso. - Texto transcrito do catálogo do leilão.",Leilão Von Brusky 22 a 26 de Novembro de 2021,False,Pinturas,,Marc Chagall,David et Bethsebée,https://www.catalogodasartes.com.br/obra/PPUADA/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_994717.jpg,Litografia,26.0,35.0,15000.0,2673.8,reprodução,False,2021
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"Sem Título 60 x 50 cm serigrafia sobre papel ass. inf. dir. Exemplar n° 234/340. - Esta obra entrou em leilão com o lance inicial de R$1.500,00",Leilão James Lisboa 12 e 13 de Novembro de 2013,False,Pinturas,,Victor Vasarely,Sem Título,https://www.catalogodasartes.com.br/obra/DGPUAP/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_129479.jpg,Serigrafia sobre papel,50.0,60.0,2600.0,1120.69,reprodução,True,2013
,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,"Raro quadro Aquarela sobre cartão, retrato de jovem adolescente de 1962, assinado V. Monteiro canto inferior direito 22x28cm",Leilão Arte Maior 26 de Outubro de 2013,False,Pinturas,,Vicente do Rego Monteiro,Retrato de jovem adolescente de 1962,https://www.catalogodasartes.com.br/obra/DGcczc/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_128838.jpg,Aquarela sobre cartão,22.0,28.0,18000.0,8256.88,pintura,False,2013
,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,,Leilão Errol Flynn 24 de junho de 2010,False,Pinturas,,Candido Portinari,Vaso de flores,https://www.catalogodasartes.com.br/obra/UBBct/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_45586.jpg,Serigrafia,50.0,70.0,2900.0,1487.18,reprodução,False,2010
1958.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"Reproduzido à p. 362, vol. IV, Candido Portinari Catálogo Raisonné. Registrado no Projeto Portinari sob n. (FCO) 4803.",Leilão Bolsa de Arte Abril de 2010,False,Pinturas,20.0,Candido Portinari,Cangaceiro,https://www.catalogodasartes.com.br/obra/UUzzU/,50.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_44334.jpg,Óleo sobre madeira,23.0,33.0,300000.0,157894.74,pintura,False,2010
,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,"OST 85 x 120 Déc. 60 ACIE ""... a simetria, a aura de uma terceira dimensão, a natureza escultórica , a inclusão um primitivismo??? simplificado e sensual, são timbres vários de uma obra rica e descontraída, sinal evidente de um criador por instinto."" Walmir Ayala - Na sala houve uma oferta condicional de R$160.000,00. O Catálogo das Artes não tomou conhecimento da negociação final.",Leilão Vitor Braga 13 e 14 de Maio de 2013,False,Pinturas,,Vicente do Rego Monteiro,Sem titulo,https://www.catalogodasartes.com.br/obra/DDtzzP/,60.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_116339.jpg,Óleo sobre Tela,120.0,85.0,160000.0,79601.99,pintura,False,2013
,https://www.catalogodasartes.com.br/cotacao/artista/Georgina%20de%20Albuquerque/,,Bolsa de Arte do Rio de Janeiro,False,Pinturas,,Georgina de Albuquerque,Cabocla,https://www.catalogodasartes.com.br/obra/DDPz/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1193.jpg,Pastel e crayon,28.5,43.0,2500.0,1190.48,pintura,True,2007
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"Prato de porcelana Rosenthal, tiragem 5000/0066 26 cm de diâmetro ass. centro inferior 1936 Este objeto entrou em pregão com o lance inicial de R$800,00",Leilão TNT Maio de 2010,False,Pinturas,,Victor Vasarely,Beijo,https://www.catalogodasartes.com.br/obra/UUAGA/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_44727.jpg,Pintura em Porcelana,26.0,26.0,1100.0,564.1,pintura,True,2010
1970.0,https://www.catalogodasartes.com.br/cotacao/artista/Yolanda%20Lederer%20Mohalyi%20-%20Yolanda%20Mohalyi/,,Bolsa de Arte do Rio de Janeiro,False,Pinturas,20.0,Yolanda Lederer Mohalyi,s/t,https://www.catalogodasartes.com.br/obra/ctB/,70.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_865.jpg,Óleo sobre Tela,130.0,173.0,60900.0,55363.64,pintura,True,1997
